COURSE,MODULE,LINK
How to Brand Yourself as an Artist,1,https://app.heygen.com/videos/90b15e71558e49bca3cffc63ca7c9045
,2,https://app.heygen.com/videos/21e75f2028ae40b4b57227b4bbd6a322
,3,https://app.heygen.com/videos/573e9a742a8e42dfab408aaf0e52f497
,4,https://app.heygen.com/videos/a5d0b8437e22496bb975a315489fe2d9
,5,https://app.heygen.com/videos/9417072d9d4745b59e003438c05805cc
,6,https://app.heygen.com/videos/131a8691f8f04d6abba7862882572835
,7,https://app.heygen.com/videos/de71a1410a6b4d6596aac77797cb46c4
,,
How to Add Music to Collaborative Playlist,1,https://app.heygen.com/videos/f7f14c9e94db41bfa3c86a4540a1a564
,1.2,https://app.heygen.com/videos/8284638089e54421aa0af4547f2780b0
,2,https://app.heygen.com/videos/8028586f08a74b9bae1eef5bb7fbdb3e
,2.2,https://app.heygen.com/videos/40d55b9686b44631954cf2fc370bf522
,3,https://app.heygen.com/videos/69f12bba9d534d10a24a17fcb7aef1d9
,3.2,https://app.heygen.com/videos/23c18a1197614c309a88122b7bf25487
,4,https://app.heygen.com/videos/081c9de0722d476faa610726c5aab712
,4.2,https://app.heygen.com/videos/f1af35e7748c44dea26a1e77ffc850da
,5,https://app.heygen.com/videos/865cdddcfc844d3f9bd414611721b70d
,5.2,https://app.heygen.com/videos/d2c2c22cd5bb48bfacdab555e7658ab2
,6,https://app.heygen.com/videos/d15d16186ae841b6a48cd8221358fc11
,6.2,https://app.heygen.com/videos/92553aa498974515b7fdf0f079fc5168
,7,https://app.heygen.com/videos/3b1481340da84a4191ccdd020b49fb01
,7.2,https://app.heygen.com/videos/3b1481340da84a4191ccdd020b49fb01
,,
How to Add Songs to Your PRO,1,https://app.heygen.com/videos/d5b45853372a401191171c2366202100
,2,https://app.heygen.com/videos/0f6f966328b342269c91781c9c14072d
,3,https://app.heygen.com/videos/5451459bd69b46478dad2589938eba3f
,4,https://app.heygen.com/videos/487e30dfbafa4e9996d8a81ad757fef2
,5,https://app.heygen.com/videos/e9355b271add4cd9ab9b6acd7d07c2e0
,6,https://app.heygen.com/videos/364e1b78812f4500be5652c572966f28
,7,https://app.heygen.com/videos/6c4dc1812eeb4555bda7cc970d6353a2
,,
How to Promote Your Own Shows,1,https://app.heygen.com/videos/d95ffa08965f4210bb0c989caa02457e
,2,https://app.heygen.com/videos/a859f6ebac4a45b296eebb2f6cfe5247
,3,https://app.heygen.com/videos/1822196e99cc4c70a90f41e41eba79e1
,4,https://app.heygen.com/videos/940306e875d64b1fa9a701ddba3fe562
,5,https://app.heygen.com/videos/e5b595ee405b405c9d261c5a28383570
,6,https://app.heygen.com/videos/b709c1ea9196477bb901cedee29f4ce2
