Company,Email
BBC Online,news@bbc.co.uk 
Financial Times,ean@ft.com
Financial Times,eaw@ft.com
Financial Times,eas@ft.com
Wall Street Journal,newseditors@wsj.com
BBC Breakfast ,bbcbreakfast@bbc.co.uk
BBC news,Mark.kniver@bbc.co.uk
Sky News,news@sky.com
BBC News,bbcnews24@bbc.co.uk
BBC Radio Kent,paul.leaper@bbc.co.uk
BBC 5 Live,steve.mawhinney@bbc.co.uk
BBC Radio 4,today@bbc.co.uk
ITV ,newsdesk@itvlondon.com
Channel 4 News,news@channel4.com
Daily Mail,news@dailymail.co.uk;
The Sun,news@the-sun.co.uk;
Daily Mirror,mirrornews@mirror.co.uk;
Daily Express,news.desk@express.co.uk;
Daily Star,news@dailystar.co.uk;
Daily Telegraph,dtnews@telegraph.co.uk;
Independent,newseditor@independent.co.uk;
The Guardian,national@guardian.co.uk;
The Times,home.news@thetimes.co.uk;
Evening Standard,news@standard.co.uk;
Metro,news.london@ukmetro.co.uk;
